s2_full,s2_partial,l8_full,l8_partial
29;86;129,72.0,71;72;73,
29;129,86.0,71;72;73,
29;72;129,86.0,71;72;73,
29;129,72.0,71;72;73,
29;72;129,,72;73,71
15;58,115.0,77;78;79,
15;58,101.0,78;79;80,
43;86;100;143,,66;67;68,
43;86;143,,66;67;68;69,
43;86;143,,66;67;68,69
43;86;143,,67;68;69,66
29;86;129,,71;72;73,70
29;86;129,,71;72,70
57;100,14.0,63;64,
57;100,,63;64,65
14;57;100,,63;64,62
57;100,143.0,64;65,
100;143,,65;66,67
43;86;143,,68;69,67
70,,43,42
69;112,,27,28
85,42.0,53;54,
28;71,128.0,56;57,
14,,62,
14,,63,
43;86;129,,69;70,71
86;129,29.0,70;71,
29;86;129,,71;72,73
97,54.0,16,15
72;115,29.0,74;75;76,
72;115,15.0,75;76,
58;101,15.0,79;80;81,
58;101,1.0,79;80;81,
58;101,,80;81,
58;101,1.0,80;81,
1;58;101,,81;82,80
1;101,58.0,81;82,
1;101,44.0,81;82;83,
15;72;115,58.0,76;77;78,
15;72;115,,76;77;78,75
15;115,58.0,76;77;78,
15;115,72.0,76;77;78,
15;58;115,,77;78;79,76
15;58;115,,77;78,76;79
15;58;101,,77;78;79,
15;58;101,,78;79,77
15;58;101,,78;79,80
15;58,101.0,77;78;79,
15;58;101,,78;79;80,77
15;58;101,115.0,77;78;79;80,
57;100,,64,65
1;44;87;101,,82;83;84;85,
1;44;87,,82;83;84,85
1;44;101,87.0,82;83;84,
1;44;87,,82;83;84,
1;44;87,101.0,82;83;84,
29;72,115.0,74;75,
72;115,29.0,74;75,
72;115,,74;75,76
43;86,143.0,68;69;70,
43;86;129,,69;70;71,68
43;86;129,,68;69;70,71
43;86,129.0,68;69;70,
43;100;143,,66;67,68
43;86;129,,69;70,68
72;115,15.0,75;76,77
15;115,58.0,77;78,
14;114,,59;60;61,
14;71;114,,59;60;61,
14;71;114,,59;60,
14;114,71.0,59;60;61,
14;71;114,,59;60,61.0
14;114,,61;62,60.0
14;57;114,,61;62,
