s2_id,s2_acq_id,l8_9_id,l8_9_acq_id
72_115_15p_29p,1_4_2p_3p,74_75_76,11_2_4
72_115_29p,1_4_3p,74_75_76,11_2_4
29_72_115,1_3_4,74_75_76,11_2_4
72_115,1_4,74_75_76,11_2_4
43_100_143,1_3_4,66_67_65p,12_3_5p
43_100_143,1_3_4,66_67_68,10_12_3
29_86_129,2_3_5,71_72,15_6
29_72_129,1_3_5,72_73,13_6
29_72_129,1_3_5,72_73_74p,13_6_4p
29_72_115_129,1_3_4_5,72_73_74,13_4_6
29_72_115_129,1_3_4_5,72_73_74_75,11_13_4_6
29_72_129,1_3_5,72_73_74_71p,13_4_6_15p
29_72_115_129,1_3_4_5,73_74_75,11_13_4
29_72_115_129p,1_3_4_5p,73_74_75,11_13_4
29_72_115,1_3_4,73_74_75_76,11_13_2_4
29_72_86_129,1_2_3_5,70_71_72_73,13_15_6_8
29_72_86_129,1_2_3_5,71_72_73,13_15_6
43_86_129,2_4_5,68_69_70_71,1_10_15_8
29_43_86_129,2_3_4_5,69_70_71,1_15_8
29_43_86_129,2_3_4_5,69_70_71_72,1_15_6_8
29_86_129_43p,2_3_5_4p,69_70_71_72,1_15_6_8
29_86_129,2_3_5,69_70_71_72,1_15_6_8
43_86_129_143,1_2_4_5,68_69_70,1_10_8
29_72,1_3,73_74_75,11_13_4
29_72_115,1_3_4,74_75,11_4
15_58_72_115,1_2_4_5,75_76_77,11_2_9
15_29_72_115,1_2_3_4,74_75_76_77p,11_2_4_9p
15_29_72_115,1_2_3_4,74_75_76_77,11_2_4_9
15_72_115_29p,1_2_4_3p,74_75_76_77,11_2_4_9
15_72_115,1_2_4,74_75_76_77,11_2_4_9
15_72_115,1_2_4,75_76_77_74p,11_2_9_4p
15_72_115_58p,1_2_4_5p,75_76_77,11_2_9
15_58_72_115,1_2_4_5,75_76_77_78,11_16_2_9
15_58_72_115,1_2_4_5,75_76_77_78p,11_2_9_16p
15_58_72_115,1_2_4_5,76_77_78,16_2_9
15_58_72_115,1_2_4_5,76_77_78_75p,16_2_9_11p
15_72_115_58p,1_2_4_5p,75_76_77_78p,11_2_9_16p
15_58_115,2_4_5,76_77_78,16_2_9
15_29_72_115,1_2_3_4,73_74_75_76,11_13_2_4
29_72_115_15p,1_3_4_2p,73_74_75_76,11_13_2_4
29_72_115_15p,1_3_4_2p,74_75_76,11_2_4
15_72_115_29p,1_2_4_3p,74_75_76,11_2_4
57_100_143p,3_5_1p,64_65,14_5
71_114,1_4,58_59_60p,11_4_2p
71_114,1_4,58_59_60,11_2_4
71_114,1_4,59_60,11_2
71_114_28p,1_4_3p,58_59,11_4
29_129_86p,3_5_2p,71_72,15_6
129_29p_86p,5_2p_3p,71_72,15_6
28_71,1_3,57_58_56p,13_4_6p
43_86_129p,2_4_5p,69_70,1_8
43_86_143p,2_4_1p,68_69_67p,1_10_3p
100_143_57p,1_3_5p,64_65_66,12_14_5
43_86_143p,2_4_1p,68_69_70,1_10_8
43_86_143,1_2_4,68_69_70,1_10_8
43_86_143,1_2_4,68_69_70p,1_10_8p
86_129,2_5,70_71_69p,15_8_1p
86_129,2_5,70_71_72p,15_8_6p
86_129,2_5,71_72_70p,15_6_8p
86_129_29p,2_5_3p,71_72,15_6
29_72,1_3,73_74,13_4
29_129,3_5,72_73_71p,13_6_15p
29_129_72p,3_5_1p,72_73,13_6
43_86_129_143,1_2_4_5,68_69_70_67p,1_10_8_3p
43_86_129_143,1_2_4_5,67_68_69_70,1_10_3_8
43_86_143,1_2_4,67_68_69_70,1_10_3_8
29_72,1_3,73_74_75p,13_4_11p
43_86_143,1_2_4,67_68_69p,10_3_1p
43_143_100p,1_4_3p,66_67_68,10_12_3
29_86_129,2_3_5,70_71_72p,15_8_6p
29_86_129,2_3_5,69_70_71,1_15_8
29_86_129,2_3_5,70_71,15_8
29_72,1_3,72_73_74,13_4_6
29_72_129p,1_3_5p,72_73_74,13_4_6
29_86_129,2_3_5,69_70_71_72p,1_15_8_6p
