gnis_id,gnis_name
00800881,Grayling Creek
00388463,Pilot Spring Creek
00777848,Twin Creek
00395621,Levi Hawkley Creek
00787096,McLaughlin Creek
00381777,Fisher Creek
00390967,South Fork Lion Creek
00785674,Kennedy Creek
00380346,Deadwood Creek
00374838,Sage Creek
00391547,Stroud Creek
00384312,Kriley Creek
02569024,Lateral R-12
01507276,Panjab Creek
00380625,Ditch Creek
00376636,Annie Rooney Creek
00381538,Fall Creek
00784592,Hart Creek
01508103,Sandwich Creek
00392290,Trail Creek
00392401,Tripod Creek
00793081,West Fork Stevenson Creek
00384705,Lion Creek
00376891,Bald Mountain Creek
00390203,Sheep Creek
00391694,Suttler Creek
00384971,Little Tenmile Creek
00391344,Stanley Lake Creek
00390965,South Fork Lawson Creek
00787943,Nelson Creek
00379799,Corral Creek
00382116,Fry Creek
00387978,Ophir Creek
00386808,Middle Fork Deep Creek
00788668,Partridge Creek
00383471,Howard Creek
00375180,South Teton River
00392965,Weaver Creek
00386145,Lost Creek
00377239,Beaver Creek
00371520,Big Sawmill Creek
00376715,Armstrong Creek
00398566,Clatter Creek
00391043,South Fork Threemile Creek
00391038,South Fork Sublett Creek
01526263,South Fork Tacoma Creek
00860765,North Fork Deep Creek
01601719,North Branch Cedar Creek
00390791,Snyder Creek
00852172,Sheep Creek Ditch
00780148,Blue Joint Creek
00384790,Little Creek
00785104,Howard Creek
00773551,Logan Creek
00787612,Moonlight Creek
00391122,Split Creek
00388008,Osier Creek
00862022,Williams Creek
00390907,South Fork Clear Creek
00372113,Cookstove Creek
00390080,Second Creek
00399417,Alpheus Creek
00389780,Saddle Creek
00377255,Beaver Creek
00399105,Lice Creek
01591025,Lost Creek
00380905,Duck Creek
00386767,Mica Creek
00389309,Reservoir Creek
00388347,Perkons Creek
00388691,Pole Creek
02569193,Lateral Y-4
00384907,Little Owl Creek
01127597,Stewart Carter Ditch
00779726,Berry Creek
00378935,Carlin Creek
01605568,Jackpine Creek
00393225,West Fork Willow Creek
00378524,Burn Creek
00397522,Camp Creek
00379353,Circle Creek
00393234,West Modoc Creek
00385990,Lone Cedar Creek
00381242,Echols Creek
01120122,Dry Creek
00786224,Little Basin Creek
00391734,Swanholm Creek
00392903,Warren Creek
00373893,Meadow Creek
00400136,Threemile Creek
00390102,Selway River
00388840,Powelson Creek
00378874,Canyon Creek
00378155,Box Sing Creek
00780196,Boiling Springs Creek
00390858,South Cherry Creek
00385997,Lone Park Creek
00390977,South Fork Minneha Creek
00388640,Poison Creek
00372423,Dixie Creek
00387548,Nez Perce Creek
00400032,Partridge Creek
00781516,Colorado Creek
00785507,John Creek
00396433,East Greenacres North Ditch
00390391,Shovel Creek
00382992,Hays Creek
00786001,Lazier Creek
00398552,Fulton Creek
01601362,Mesquite Creek
00373376,K Canal
00384491,Lawson Creek
01601482,Mink Creek
00861239,Salmon Creek
00400214,Paradise Creek
01529522,Elk Creek
00381066,East Fork Charlie Creek
00395856,1465 Lateral
00395470,Highline Ditch
00379705,Copper Creek
00382721,Grouse Creek
02517360,J 20 Lateral
00399942,Kelly Creek
00380483,Degits Creek
02568980,Lateral M-2
00374961,Severson Canal
00393311,White Bird Creek
00782846,East Fork Fishtrap Creek
00378735,Camas Creek
00387775,North Fork Sheep Creek
02729226,Lateral 700
00400012,Nickel Creek
00374483,Pole Creek
00400085,Sidehill Ditch
00382403,Goldburg Creek
00842522,North Fork Skull Creek
00387342,Mud Lick Creek
00378736,Camas Creek
02518727,J 27 Lateral
00389037,Rainbow Creek
00379893,Cougar Creek
00386379,Mahogany Creek
00782205,Deep Creek
02729207,Lateral 343A
01447115,West Canal
00377217,Bearskin Creek
